effect,,attraction,attraction,compromise,compromise
target_alternative,,A,B,A,B
A,mean,0.5953,0.45,0.4641,0.3099
A,std,0.2243,0.2572,0.1998,0.2381
A,min,0.0417,0.0625,0.0417,0.0
A,max,0.9583,0.9583,0.7917,0.8333
B,mean,0.3938,0.5286,0.3714,0.324
B,std,0.2236,0.2445,0.2141,0.1671
B,min,0.0208,0.0417,0.0,0.0208
B,max,0.9583,0.9375,0.9375,0.8333
C,mean,0.0109,0.0214,0.1646,0.3661
C,std,0.0156,0.0434,0.1651,0.2975
C,min,0.0,0.0,0.0,0.0
C,max,0.0625,0.2292,0.8125,0.9792
target,mean,0.5953,0.5286,0.4641,0.324
target,std,0.2243,0.2445,0.1998,0.1671
target,min,0.0417,0.0417,0.0417,0.0208
target,max,0.9583,0.9375,0.7917,0.8333
competitor,mean,0.3938,0.45,0.3714,0.3099
competitor,std,0.2236,0.2572,0.2141,0.2381
competitor,min,0.0208,0.0625,0.0,0.0
competitor,max,0.9583,0.9583,0.9375,0.8333
decoy,mean,0.0109,0.0214,0.1646,0.3661
decoy,std,0.0156,0.0434,0.1651,0.2975
decoy,min,0.0,0.0,0.0,0.0
decoy,max,0.0625,0.2292,0.8125,0.9792
rst,mean,0.6018,0.5438,0.5663,0.5736
rst,std,0.226,0.2549,0.2272,0.2216
rst,min,0.0417,0.0417,0.0426,0.1667
rst,max,0.9787,0.9375,1.0,1.0
