,,attraction,compromise
dwell_A,mean,0.3443,0.3328
dwell_A,std,0.0306,0.0267
dwell_A,min,0.2501,0.2569
dwell_A,max,0.3941,0.377
dwell_B,mean,0.3631,0.3537
dwell_B,std,0.0269,0.0248
dwell_B,min,0.291,0.3035
dwell_B,max,0.4258,0.4193
dwell_C,mean,0.2927,0.3135
dwell_C,std,0.0276,0.028
dwell_C,min,0.2153,0.2463
dwell_C,max,0.3498,0.3715
dwell_p,mean,0.4981,0.496
dwell_p,std,0.0187,0.0295
dwell_p,min,0.46,0.4425
dwell_p,max,0.5324,0.5554
dwell_m,mean,0.5019,0.504
dwell_m,std,0.0187,0.0295
dwell_m,min,0.4676,0.4446
dwell_m,max,0.54,0.5575
dwell_target,mean,0.3616,0.3543
dwell_target,std,0.0192,0.019
dwell_target,min,0.3349,0.3053
dwell_target,max,0.4233,0.391
dwell_competitor,mean,0.3458,0.3322
dwell_competitor,std,0.0241,0.0183
dwell_competitor,min,0.2886,0.3013
dwell_competitor,max,0.3991,0.3828
dwell_decoy,mean,0.2927,0.3135
dwell_decoy,std,0.0276,0.028
dwell_decoy,min,0.2153,0.2463
dwell_decoy,max,0.3498,0.3715
