,switch,level,mean,sem,label
0,inhibition,distance-dependent,351.5720816160318,2.4201280931867735,Distance
1,inhibition,free,316.0562740523875,2.4790783565695014,Constant
2,inhibition,gaze-dependent,305.635674680799,1.9519010965035692,Gaze
3,inhibition,none,311.748327113349,2.4660553342393214,None
4,leak,free,304.8393394425558,2.1692451049417634,Constant
5,leak,gaze-dependent,292.05961318582115,1.664583542087251,Gaze
6,leak,none,381.4920000503378,1.8684358009171143,None
7,comparison,absolute,305.42150810558235,1.8726643257602706,Independent
8,comparison,n.d.,340.9012082886243,2.4468805349428484,$n.d.$
9,comparison,vsmean,330.93600555559607,1.908739262182396,Comparative
10,gb_alt,False,356.31889080617833,1.6290422225905392,without
11,gb_alt,True,289.12760343821515,1.5188416199332564,with
12,integration,additive,333.19713219037044,1.684081588581259,$+$
13,integration,multiplicative,312.24936205402156,1.661800180546851,$\times$
14,gb_att,False,321.3317953360191,1.7081488946434922,without
15,gb_att,True,324.11469890837327,1.6575019990671525,with
