,count,integration,comparison,gb_att,gb_alt,leak,inhibition
0,17,multiplicative,absolute,False,True,free,none
1,9,multiplicative,vsmean,False,True,free,distance-dependent
2,4,additive,absolute,False,True,free,none
3,3,multiplicative,absolute,False,False,gaze-dependent,none
4,2,multiplicative,absolute,False,False,free,gaze-dependent
5,1,multiplicative,vsmean,False,True,free,gaze-dependent
6,1,multiplicative,vsmean,False,True,gaze-dependent,none
7,1,multiplicative,vsmean,False,True,gaze-dependent,free
8,1,multiplicative,vsmean,False,True,gaze-dependent,distance-dependent
9,1,multiplicative,absolute,True,True,free,distance-dependent
