,BIC,integration,comparison,gb_att,gb_alt,leak,inhibition
0,232.08,$\times$,n.d.,False,True,Constant,None
1,235.94,$\times$,independent,False,False,Constant,Gaze
2,236.75,$\times$,comparative,False,True,Constant,Gaze
3,237.21,$\times$,n.d.,True,True,Constant,None
4,237.31,$\times$,independent,False,True,Constant,Gaze
5,237.4,$\times$,n.d.,False,True,Constant,Constant
6,238.41,$\times$,comparative,False,True,Gaze,None
7,241.04,$\times$,independent,True,False,Constant,Gaze
8,241.4,$\times$,comparative,False,True,Constant,Distance
9,241.78,$\times$,comparative,True,True,Constant,Gaze
