subject,gaze-baseline-dyn,gaze-baseline-stat,glickman1layernoleak,mdft,pt
0,227.6251,421.4958,412.9881,382.1818,465.7275
1,354.4582,379.111,313.4226,327.2309,339.2254
2,371.0625,426.3278,247.6026,203.4537,262.3414
3,290.2211,372.1745,308.4621,443.3036,343.5222
4,361.8398,430.5335,418.7164,440.3324,442.4994
5,194.5179,459.2021,346.7457,324.4064,376.1499
6,276.3674,430.5868,291.9311,230.853,234.2506
7,353.1085,418.1484,309.6101,269.1908,346.6687
8,386.5389,463.3576,329.3017,306.5303,344.9141
9,185.3828,333.9198,231.7609,309.1218,341.1731
10,345.8704,408.6794,354.962,522.0188,364.0778
11,283.7476,364.5427,302.6689,334.1699,328.1104
12,383.5241,432.6983,324.8143,340.0382,347.2307
13,205.3822,350.7247,322.6228,358.2268,383.1633
14,322.7411,433.8868,412.7299,498.5604,447.8705
15,344.1335,411.6244,369.7578,408.431,411.2417
16,219.4904,408.7415,310.6277,376.2253,307.0406
17,329.7245,354.2697,319.0595,378.6432,387.0906
18,341.7768,370.5814,256.6989,278.123,272.3702
19,328.6723,403.1723,385.9185,373.7355,436.4414
20,138.8512,454.6972,229.3063,230.7335,237.0068
21,130.0095,358.1243,289.9719,361.5623,335.3474
22,322.9357,413.3703,375.8877,353.3814,423.7138
23,324.8423,427.3834,288.3731,325.0758,335.5805
24,303.7437,412.2871,262.6287,272.2605,310.9775
26,148.6867,448.3105,361.3675,349.577,365.7032
27,354.8299,438.7664,299.8946,306.6848,350.8154
30,419.1488,476.6975,262.6827,225.9412,257.5809
31,131.4603,412.7014,144.6445,143.2961,148.3641
32,482.527,495.0166,378.0202,261.9833,337.6318
33,390.6999,452.8385,336.4914,334.9975,378.3946
34,395.4673,441.4653,367.2766,323.8484,356.0454
35,422.2959,456.9524,379.4646,331.3877,404.7505
36,290.0988,390.3766,262.7843,416.4747,319.8489
37,245.3493,397.9936,287.5665,337.4219,330.6378
38,286.63,405.0506,332.5344,363.5121,372.4525
39,379.8011,429.0212,378.5242,390.5676,378.4371
41,288.1296,374.784,375.1602,435.1823,454.6566
42,219.4466,442.6678,424.4406,488.9929,473.7266
43,317.1169,390.077,365.3577,473.3178,457.7962
